Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD,PD1,PD2
Constant,2,1,7.5,Simulation,0.263568,0.603083,0.319447,0.283636
Exponential,2,1,7.5,Simulation,0.219941,0.646855,0.339863,0.306992
Constant,2,1,7.6,Simulation,0.269282,0.598719,0.317545,0.281174
Exponential,2,1,7.6,Simulation,0.227802,0.640302,0.33636,0.303942
Constant,2,1,7.7,Simulation,0.276888,0.593557,0.314185,0.279372
Exponential,2,1,7.7,Simulation,0.232556,0.63741,0.334969,0.302441
Constant,2,1,7.8,Simulation,0.283812,0.588097,0.310964,0.277133
Exponential,2,1,7.8,Simulation,0.240315,0.631008,0.331813,0.299195
Constant,2,1,7.9,Simulation,0.290331,0.58274,0.308956,0.273784
Exponential,2,1,7.9,Simulation,0.246938,0.626527,0.329263,0.297264
Constant,2,1,8.0,Simulation,0.295535,0.579401,0.30719,0.272211
Exponential,2,1,8.0,Simulation,0.252734,0.621521,0.326986,0.294535
Constant,2,1,8.1,Simulation,0.301995,0.574367,0.304463,0.269904
Exponential,2,1,8.1,Simulation,0.259361,0.617406,0.32418,0.293226
Constant,2,1,8.2,Simulation,0.309099,0.56861,0.301575,0.267035
Exponential,2,1,8.2,Simulation,0.267178,0.611276,0.321039,0.290237
Constant,2,1,8.3,Simulation,0.314764,0.564551,0.298999,0.265552
Exponential,2,1,8.3,Simulation,0.272173,0.607351,0.31945,0.287901
Constant,2,1,8.4,Simulation,0.320999,0.559213,0.296325,0.262888
Exponential,2,1,8.4,Simulation,0.277784,0.603012,0.316482,0.28653
Constant,2,1,8.5,Simulation,0.327224,0.555426,0.294059,0.261367
Exponential,2,1,8.5,Simulation,0.285809,0.595587,0.312272,0.283315
Constant,2,1,8.6,Simulation,0.332006,0.551643,0.291877,0.259766
Exponential,2,1,8.6,Simulation,0.291388,0.59256,0.31107,0.28149
Constant,2,1,8.7,Simulation,0.340504,0.545136,0.288549,0.256587
Exponential,2,1,8.7,Simulation,0.298055,0.586818,0.30828,0.278538
Constant,2,1,8.8,Simulation,0.345824,0.540797,0.285993,0.254804
Exponential,2,1,8.8,Simulation,0.30231,0.584326,0.306618,0.277708
Constant,2,1,8.9,Simulation,0.351684,0.536001,0.284011,0.25199
Exponential,2,1,8.9,Simulation,0.309308,0.578286,0.304102,0.274184
Constant,2,1,9.0,Simulation,0.356413,0.531982,0.281916,0.250066
Exponential,2,1,9.0,Simulation,0.314559,0.574089,0.301182,0.272907
Constant,2,1,9.1,Simulation,0.362783,0.527083,0.278643,0.24844
Exponential,2,1,9.1,Simulation,0.319052,0.570705,0.29987,0.270835
Constant,2,1,9.2,Simulation,0.36793,0.522892,0.276874,0.246018
Exponential,2,1,9.2,Simulation,0.326356,0.564641,0.295467,0.269174
Constant,2,1,9.3,Simulation,0.373553,0.518716,0.274422,0.244294
